"Plot Title: 5"
"#","Date Time, GMT-04:00","Temp, °F (LGR S/N: 10164067, SEN S/N: 10164067)","RH, % (LGR S/N: 10164067, SEN S/N: 10164067)","Intensity, lum/ft² (LGR S/N: 10164067, SEN S/N: 10164067)","DewPt, °F (LGR S/N: 10164067, SEN S/N: 10164067)","Host Connected (LGR S/N: 10164067)","End Of File (LGR S/N: 10164067)"
1,09/21/16 01:30:00 PM,91.076,42.695,2897.1,65.912,,
2,09/21/16 01:31:00 PM,90.844,42.381,2892.7,65.489,,
3,09/21/16 01:32:00 PM,90.750,42.941,2908.8,65.784,,
4,09/21/16 01:33:00 PM,90.612,42.567,2894.9,65.406,,
5,09/21/16 01:34:00 PM,90.424,42.389,2886.8,65.118,,
6,09/21/16 01:35:00 PM,90.100,42.236,2255.5,64.722,,
7,09/21/16 01:36:00 PM,89.685,43.605,1997.7,65.266,,
8,09/21/16 01:37:00 PM,89.224,44.336,1898.8,65.327,,
9,09/21/16 01:38:00 PM,88.902,44.514,1258.7,65.151,,
10,09/21/16 01:39:00 PM,88.626,45.418,499.9,65.476,,
11,09/21/16 01:40:00 PM,88.122,45.319,372.4,64.958,,
12,09/21/16 01:41:00 PM,87.710,45.818,307.2,64.897,,
13,09/21/16 01:42:00 PM,87.255,46.148,272.1,64.688,,
14,09/21/16 01:43:00 PM,86.799,46.576,238.4,64.537,,
15,09/21/16 01:44:00 PM,86.391,46.712,218.6,64.247,,
16,09/21/16 01:45:00 PM,86.074,45.775,200.3,63.383,,
17,09/21/16 01:46:00 PM,85.849,46.120,192.3,63.390,,
18,09/21/16 01:47:00 PM,85.667,45.879,191.5,63.079,,
19,09/21/16 01:48:00 PM,85.442,45.668,187.9,62.742,,
20,09/21/16 01:49:00 PM,85.262,45.394,185.7,62.409,,
21,09/21/16 01:50:00 PM,85.035,45.575,184.2,62.317,,
22,09/21/16 01:51:00 PM,84.900,45.893,181.3,62.391,,
23,09/21/16 01:52:00 PM,84.857,44.712,182.0,61.614,,
24,09/21/16 01:53:00 PM,84.722,46.077,178.3,62.339,,
25,09/21/16 01:54:00 PM,84.542,46.065,179.8,62.170,,
26,09/21/16 01:55:00 PM,84.362,45.596,178.3,61.718,,
27,09/21/16 01:56:00 PM,84.227,45.293,175.4,61.407,,
28,09/21/16 01:57:00 PM,84.049,45.608,174.7,61.439,,
29,09/21/16 01:58:00 PM,83.959,45.504,174.7,61.293,,
30,09/21/16 01:59:00 PM,83.779,45.231,172.5,60.962,,
31,09/21/16 02:00:00 PM,83.601,45.872,172.5,61.194,,
32,09/21/16 02:01:00 PM,83.511,45.768,171.7,61.050,,
33,09/21/16 02:02:00 PM,83.332,45.528,173.2,60.741,,
34,09/21/16 02:03:00 PM,83.199,45.747,171.0,60.753,,
35,09/21/16 02:04:00 PM,83.109,46.002,171.7,60.827,,
36,09/21/16 02:05:00 PM,83.154,45.124,172.5,60.328,,
37,09/21/16 02:06:00 PM,83.064,44.792,169.6,60.040,,
38,09/21/16 02:07:00 PM,83.021,45.311,168.8,60.323,,
39,09/21/16 02:08:00 PM,82.976,44.066,170.3,59.502,,
40,09/21/16 02:09:00 PM,82.931,44.489,169.6,59.729,,
41,09/21/16 02:10:00 PM,82.886,44.748,169.6,59.851,,
42,09/21/16 02:11:00 PM,82.841,43.861,169.6,59.250,,
43,09/21/16 02:12:00 PM,82.753,44.150,168.8,59.355,,
44,09/21/16 02:13:00 PM,82.665,44.864,171.0,59.722,,
45,09/21/16 02:14:00 PM,82.575,44.401,170.3,59.351,,
46,09/21/16 02:15:00 PM,82.486,44.297,169.6,59.205,,
47,09/21/16 02:16:00 PM,82.396,43.964,170.3,58.914,,
48,09/21/16 02:17:00 PM,82.396,43.538,170.3,58.642,,
49,09/21/16 02:18:00 PM,82.353,43.371,169.6,58.494,,
50,09/21/16 02:19:00 PM,82.308,43.041,167.4,58.242,,
51,09/21/16 02:20:00 PM,82.263,43.759,165.9,58.663,,
52,09/21/16 02:21:00 PM,82.175,43.589,165.2,58.474,,
53,09/21/16 02:22:00 PM,82.130,44.045,164.4,58.725,,
54,09/21/16 02:23:00 PM,82.085,43.518,163.0,58.348,,
55,09/21/16 02:24:00 PM,82.085,43.617,161.5,58.411,,
56,09/21/16 02:25:00 PM,82.042,43.548,158.6,58.327,,
57,09/21/16 02:26:00 PM,81.909,43.409,160.0,58.118,,
58,09/21/16 02:27:00 PM,81.775,42.745,158.6,57.569,,
59,09/21/16 02:28:00 PM,81.819,43.305,157.1,57.970,,
60,09/21/16 02:29:00 PM,81.775,43.400,156.4,57.992,,
61,09/21/16 02:30:00 PM,81.730,44.248,156.4,58.491,,
62,09/21/16 02:31:00 PM,81.730,43.659,156.4,58.118,,
63,09/21/16 02:32:00 PM,81.775,44.381,155.6,58.615,,
64,09/21/16 02:33:00 PM,81.864,44.060,154.2,58.492,,
65,09/21/16 02:34:00 PM,81.864,44.158,152.0,58.555,,
66,09/21/16 02:35:00 PM,81.819,44.352,154.2,58.636,,
67,09/21/16 02:36:00 PM,81.775,45.164,150.5,59.101,,
68,09/21/16 02:37:00 PM,81.819,44.841,150.5,58.942,,
69,09/21/16 02:38:00 PM,81.819,45.037,146.9,59.063,,
70,09/21/16 02:39:00 PM,81.730,45.324,145.4,59.160,,
71,09/21/16 02:40:00 PM,81.642,45.546,144.6,59.216,,
72,09/21/16 02:41:00 PM,81.466,44.753,143.9,58.564,,
73,09/21/16 02:42:00 PM,81.244,44.706,141.7,58.336,,
74,09/21/16 02:43:00 PM,81.023,44.528,142.5,58.024,,
75,09/21/16 02:44:00 PM,80.802,45.067,142.5,58.158,,
76,09/21/16 02:45:00 PM,80.713,45.159,141.0,58.134,,
77,09/21/16 02:46:00 PM,80.625,45.121,138.8,58.030,,
78,09/21/16 02:47:00 PM,80.492,45.372,138.1,58.064,,
79,09/21/16 02:48:00 PM,80.449,45.012,137.3,57.803,,
80,09/21/16 02:49:00 PM,80.449,45.272,137.3,57.963,,
81,09/21/16 02:50:00 PM,80.492,45.729,137.3,58.282,,
82,09/21/16 02:51:00 PM,80.537,45.667,136.6,58.284,,
83,09/21/16 02:52:00 PM,80.625,46.581,134.4,58.914,,
84,09/21/16 02:53:00 PM,80.668,45.611,132.9,58.370,,
85,09/21/16 02:54:00 PM,80.845,45.005,130.7,58.159,,
86,09/21/16 02:55:00 PM,81.066,45.313,130.0,58.550,,
87,09/21/16 02:56:00 PM,81.199,44.996,129.3,58.474,,
88,09/21/16 02:57:00 PM,81.288,45.392,128.5,58.798,,
89,09/21/16 02:58:00 PM,81.376,45.723,129.3,59.081,,
90,09/21/16 02:59:00 PM,81.376,44.616,129.3,58.401,,
91,09/21/16 03:00:00 PM,81.333,44.809,128.5,58.480,,
92,09/21/16 03:01:00 PM,81.376,45.170,127.8,58.743,,
93,09/21/16 03:02:00 PM,81.687,43.526,127.1,57.992,,
94,09/21/16 03:03:00 PM,81.730,44.117,125.6,58.408,,
95,09/21/16 03:04:00 PM,81.819,43.992,124.9,58.410,,
96,09/21/16 03:05:00 PM,81.819,44.188,123.4,58.534,,
97,09/21/16 03:06:00 PM,81.909,43.736,122.7,58.327,,
98,09/21/16 03:07:00 PM,81.997,43.513,122.7,58.264,,
99,09/21/16 03:08:00 PM,82.042,43.777,123.4,58.474,,
100,09/21/16 03:09:00 PM,82.130,43.095,121.9,58.116,,
101,09/21/16 03:10:00 PM,82.130,43.652,120.5,58.474,,
102,09/21/16 03:11:00 PM,82.085,44.009,120.5,58.662,,
103,09/21/16 03:12:00 PM,82.130,44.208,121.2,58.827,,
104,09/21/16 03:13:00 PM,82.218,44.279,121.2,58.953,,
105,09/21/16 03:14:00 PM,82.353,44.026,121.2,58.914,,
106,09/21/16 03:15:00 PM,82.396,44.291,120.5,59.121,,
107,09/21/16 03:16:00 PM,82.441,44.032,120.5,58.996,,
108,09/21/16 03:17:00 PM,82.486,44.199,119.0,59.142,,
109,09/21/16 03:18:00 PM,82.486,44.427,119.8,59.286,,
110,09/21/16 03:19:00 PM,82.441,44.751,119.0,59.450,,
111,09/21/16 03:20:00 PM,82.486,45.276,118.3,59.815,,
112,09/21/16 03:21:00 PM,82.620,45.644,116.8,60.163,,
113,09/21/16 03:22:00 PM,82.753,45.131,116.1,59.968,,
114,09/21/16 03:23:00 PM,82.976,44.982,116.1,60.078,,
115,09/21/16 03:24:00 PM,82.931,44.522,114.6,59.751,,
116,09/21/16 03:25:00 PM,82.976,43.444,113.9,59.104,,
117,09/21/16 03:26:00 PM,82.976,44.132,112.4,59.544,,
118,09/21/16 03:27:00 PM,82.931,44.718,111.0,59.873,,
119,09/21/16 03:28:00 PM,82.841,44.516,108.8,59.666,,
120,09/21/16 03:29:00 PM,82.708,45.356,112.4,60.067,,
121,09/21/16 03:30:00 PM,82.665,46.525,112.4,60.739,,
122,09/21/16 03:31:00 PM,82.708,45.812,112.4,60.346,,
123,09/21/16 03:32:00 PM,82.665,45.744,112.4,60.265,,
124,09/21/16 03:33:00 PM,82.665,45.777,111.7,60.285,,
125,09/21/16 03:34:00 PM,82.665,46.070,111.7,60.463,,
126,09/21/16 03:35:00 PM,82.665,46.200,111.0,60.543,,
127,09/21/16 03:36:00 PM,82.665,45.940,111.0,60.384,,
128,09/21/16 03:37:00 PM,82.665,45.614,111.0,60.184,,
129,09/21/16 03:38:00 PM,82.620,45.676,108.8,60.183,,
130,09/21/16 03:39:00 PM,82.665,44.994,105.8,59.803,,
131,09/21/16 03:40:00 PM,82.575,44.629,107.3,59.495,,
132,09/21/16 03:41:00 PM,82.486,45.081,105.8,59.695,,
133,09/21/16 03:42:00 PM,82.396,45.401,106.6,59.812,,
134,09/21/16 03:43:00 PM,82.396,45.596,106.6,59.932,,
135,09/21/16 03:44:00 PM,82.396,45.987,105.8,60.170,,
136,09/21/16 03:45:00 PM,82.308,44.938,103.6,59.445,,
137,09/21/16 03:46:00 PM,82.175,46.427,107.3,60.233,,
138,09/21/16 03:47:00 PM,82.130,46.619,108.0,60.309,,
139,09/21/16 03:48:00 PM,82.085,46.810,106.6,60.382,,
140,09/21/16 03:49:00 PM,82.130,47.008,107.3,60.541,,
141,09/21/16 03:50:00 PM,82.085,46.421,105.8,60.148,,
142,09/21/16 03:51:00 PM,82.085,46.843,105.1,60.402,,
143,09/21/16 03:52:00 PM,82.042,46.872,104.4,60.379,,
144,09/21/16 03:53:00 PM,81.997,46.480,105.1,60.103,,
145,09/21/16 03:54:00 PM,81.997,46.155,101.4,59.909,,
146,09/21/16 03:55:00 PM,81.997,46.869,102.9,60.337,,
147,09/21/16 03:56:00 PM,81.997,47.452,102.2,60.681,,
148,09/21/16 03:57:00 PM,81.952,47.514,101.4,60.678,,
