DOW,dir,ROUTE,TRIPA,BLOCKA,VEHNOA,daymoyr,STOPA,QSTOPA,ANAME,HR,MIN,SEC,DHR,DMIN,DSEC,ON,OFF,LOAD,DLMILES,DLMIN,DLPMLS,DWTIME,DELTA,SCHTIM,SCHDEV
1,0,54,0432,054267,5409,03-Nov-2015,   0,  N05000,CHILDRENS WAY,4,34,28,4,36,58,2,0,3,0.00,0.0,0.000,2.50,"1,162",432,4.97
1,0,54,0432,054267,5409,03-Nov-2015,   1,  N45890,RIDGE AVE AT ARCH ST NS,4,36,58,4,36,58,0,0,3,0.00,0.0,0.000,0.00,907,"9,999",99.00
1,0,54,0432,054267,5409,03-Nov-2015,   2,  N05950,ARCH ST AT MERCY PROVIDENCE,4,37,1,4,37,1,0,0,3,0.00,0.0,0.000,0.00,238,"9,999",99.00
1,0,54,0432,054267,5409,03-Nov-2015,   3,  N05970,ARCH ST AT NORTH AVE,4,37,1,4,37,1,0,0,3,0.00,0.0,0.000,0.00,61,"9,999",99.00
1,0,54,0432,054267,5409,03-Nov-2015,   4,  N38480,NORTH AVE AT FEDERAL ST,4,37,23,4,37,23,0,0,3,0.09,0.4,0.257,0.00,0,"9,999",99.00
1,0,54,0432,054267,5409,03-Nov-2015,   5,  N38770,NORTH AVE OPP BOYLE ST,4,37,59,4,37,59,0,0,3,0.07,0.6,0.219,0.00,0,"9,999",99.00
1,0,54,0432,054267,5409,03-Nov-2015,   6,  N38840,NORTH AVE OPP SANDUSKY ST,4,38,7,4,38,7,0,0,3,0.06,0.1,0.166,0.00,4,"9,999",99.00
1,0,54,0432,054267,5409,03-Nov-2015,   7,  N38390,NORTH AVE AT CEDAR AVE,4,38,23,4,38,23,0,0,3,0.09,0.3,0.284,0.00,7,"9,999",99.00
1,0,54,0432,054267,5409,03-Nov-2015,   8,  N13615,CEDAR AVE OPP SUISMON ST,4,38,50,4,38,50,0,0,3,0.09,0.4,0.270,0.00,18,"9,999",99.00
1,0,54,0432,054267,5409,03-Nov-2015,   9,  N13605,CEDAR AVE OPP FORELAND ST,4,39,2,4,39,2,0,0,3,0.07,0.2,0.219,0.00,0,"9,999",99.00
1,0,54,0432,054267,5409,03-Nov-2015,  10,  N17640,EAST OHIO ST OPP JAMES ST,4,39,47,4,39,47,0,0,3,0.09,0.7,0.271,0.00,0,"9,999",99.00
1,0,54,0432,054267,5409,03-Nov-2015,  11,  N17440,EAST OHIO ST AT MIDDLE ST,4,40,1,4,40,1,0,0,3,0.07,0.2,0.225,0.00,0,"9,999",99.00
1,0,54,0432,054267,5409,03-Nov-2015,  12,  N70015,EAST OHIO ST AT NASH ST FS,4,40,11,4,40,11,0,0,3,0.03,0.1,0.101,0.00,0,"9,999",99.00
1,0,54,0432,054267,5409,03-Nov-2015,  13,  N17290,EAST OHIO ST AT CHESTNUT ST,4,40,36,4,40,36,0,0,3,0.22,0.4,0.647,0.00,0,440,0.60
1,0,54,0432,054267,5409,03-Nov-2015,  14,  N14980,CHESTNUT ST AT PROGRESS ST,4,41,2,4,41,2,0,0,3,0.10,0.4,0.299,0.00,0,"9,999",99.00
1,0,54,0432,054267,5409,03-Nov-2015,  15,  E35470,LIBERTY AVE OPP 17TH ST,4,43,20,4,43,20,0,0,3,0.37,1.6,1.119,0.00,0,442,1.33
1,0,54,0432,054267,5409,03-Nov-2015,  16,  E35480,LIBERTY AVE OPP 21ST ST FS,4,43,51,4,43,51,0,0,3,0.48,1.3,1.433,0.00,0,"9,999",99.00
1,0,54,0432,054267,5409,03-Nov-2015,  17,  E35500,LIBERTY AVE OPP 25TH ST,4,44,17,4,44,17,0,0,3,0.20,0.4,0.598,0.00,0,"9,999",99.00
1,0,54,0432,054267,5409,03-Nov-2015,  18,  E35510,LIBERTY AVE OPP 26TH ST,4,44,31,4,44,31,0,0,3,0.11,0.2,0.317,0.00,0,"9,999",99.00
1,0,54,0432,054267,5409,03-Nov-2015,  19,  E35520,LIBERTY AVE OPP 27TH ST,4,44,59,4,44,59,0,0,3,0.10,0.5,0.299,0.00,0,"9,999",99.00
1,0,54,0432,054267,5409,03-Nov-2015,  20,  E35020,LIBERTY AVE AT 28TH ST FS,4,45,24,4,45,24,0,0,3,0.17,0.5,0.525,0.00,0,"9,999",99.00
1,0,54,0432,054267,5409,03-Nov-2015,  21,  E70159,LIBERTY AVE AT 29TH ST,4,45,38,4,45,38,0,0,3,0.08,0.2,0.245,0.00,0,"9,999",99.00
1,0,54,0432,054267,5409,03-Nov-2015,  22,  E35060,LIBERTY AVE AT 30TH ST,4,45,50,4,45,50,0,0,3,0.10,0.2,0.300,0.00,0,"9,999",99.00
1,0,54,0432,054267,5409,03-Nov-2015,  23,  E35570,LIBERTY AVE OPP 31ST ST,4,46,1,4,46,1,0,0,3,0.05,0.1,0.145,0.00,0,"9,999",99.00
1,0,54,0432,054267,5409,03-Nov-2015,  24,  E00270,32ND ST AT SPRING WAY,4,46,21,4,46,21,0,0,3,0.18,0.4,0.528,0.00,0,"9,999",99.00
1,0,54,0432,054267,5409,03-Nov-2015,  25,  E45540,PENN AVE AT 33RD ST NS,4,46,47,4,46,47,0,0,3,0.06,0.4,0.192,0.00,0,"9,999",99.00
1,0,54,0432,054267,5409,03-Nov-2015,  26,  E45560,PENN AVE OPP BUTLER ST,4,47,24,4,47,24,0,0,3,0.12,0.4,0.356,0.00,0,"9,999",99.00
1,0,54,0432,054267,5409,03-Nov-2015,  27,  E46620,PENN AVE OPP 36TH ST,4,48,5,4,48,5,0,0,3,0.22,0.8,0.653,0.00,0,"9,999",99.00
1,0,54,0432,054267,5409,03-Nov-2015,  28,  E45600,PENN AVE AT 38TH ST,4,48,23,4,48,23,0,0,3,0.11,0.3,0.344,0.00,0,"9,999",99.00
1,0,54,0432,054267,5409,03-Nov-2015,  29,  E45604,PENN AVE AT 39TH ST,4,48,35,4,48,35,0,0,3,0.10,0.2,0.287,0.00,0,"9,999",99.00
1,0,54,0432,054267,5409,03-Nov-2015,  30,  E45620,PENN AVE AT 40TH ST,4,49,8,4,49,8,0,0,3,0.10,0.3,0.290,0.00,0,"9,999",99.00
1,0,54,0432,054267,5409,03-Nov-2015,  31,  E46200,PENN AVE AT MAIN ST,4,49,44,4,49,44,0,0,3,0.14,0.8,0.435,0.00,0,448,1.73
1,0,54,0432,054267,5409,03-Nov-2015,  32,  E38050,MAIN ST AT HOWLEY ST,4,50,12,4,50,12,0,0,3,0.12,0.5,0.369,0.00,0,"9,999",99.00
1,0,54,0432,054267,5409,03-Nov-2015,  33,  E35280,LIBERTY AVE AT ELLA ST,4,50,30,4,50,30,0,0,3,0.19,0.5,0.558,0.00,0,"9,999",99.00
1,0,54,0432,054267,5409,03-Nov-2015,  34,  E35410,LIBERTY AVE AT PEARL ST,4,51,38,4,51,41,2,0,5,0.14,0.8,0.429,0.05,39,"9,999",99.00
1,0,54,0432,054267,5409,03-Nov-2015,  35,  E35260,LIBERTY AVE AT EDMOND ST,4,52,14,4,52,16,3,0,8,0.13,0.7,0.639,0.03,26,"9,999",99.00
1,0,54,0432,054267,5409,03-Nov-2015,  36,  E35370,LIBERTY AVE AT MILLVALE AVE,4,52,47,4,52,47,0,0,8,0.09,0.6,0.757,0.00,0,451,1.78
1,0,54,0432,054267,5409,03-Nov-2015,  37,  E39320,MILLVALE AVE AT CYPRESS ST,4,53,10,4,53,10,0,0,8,0.13,0.5,1.069,0.00,0,"9,999",99.00
1,0,54,0432,054267,5409,03-Nov-2015,  38,  E39370,MILLVALE AVE AT YEW ST,4,53,27,4,53,28,2,0,10,0.05,0.2,0.417,0.02,28,"9,999",99.00
1,0,54,0432,054267,5409,03-Nov-2015,  39,  E39350,MILLVALE AVE AT MOREWOOD AVE,4,53,54,4,53,54,0,0,10,0.09,0.4,0.947,0.00,0,"9,999",99.00
1,0,54,0432,054267,5409,03-Nov-2015,  40,  E39280,MILLVALE AVE AT BAUM BLVD,4,54,7,4,54,7,0,0,10,0.16,0.3,1.633,0.00,0,"9,999",99.00
1,0,54,0432,054267,5409,03-Nov-2015,  41,  E39290,MILLVALE AVE AT CENTRE AVE,4,54,26,4,54,31,1,0,11,0.09,0.1,0.895,0.08,87,"9,999",99.00
1,0,54,0432,054267,5409,03-Nov-2015,  42,  E14020,CENTRE AVE OPP NEVILLE ST,4,55,6,4,55,6,0,0,11,0.09,0.8,1.041,0.00,0,"9,999",99.00
1,0,54,0432,054267,5409,03-Nov-2015,  43,  E13600,CENTRE AVE AT MELWOOD AVE,4,55,18,4,55,18,0,0,11,0.11,0.3,1.175,0.00,0,"9,999",99.00
1,0,54,0432,054267,5409,03-Nov-2015,  44,  E70804,CRAIG ST AT CENTRE AVE FS,4,55,38,4,55,38,0,0,11,0.08,0.3,0.932,0.00,0,"9,999",99.00
1,0,54,0432,054267,5409,03-Nov-2015,  45,  E15650,CRAIG ST AT BAYARD ST,4,56,2,4,56,2,0,0,11,0.10,0.3,1.072,0.00,0,"9,999",99.00
1,0,54,0432,054267,5409,03-Nov-2015,  46,  E15620,CRAIG ST AT FIFTH AVE,4,56,33,4,56,33,0,0,11,0.18,0.5,1.940,0.00,0,"9,999",99.00
1,0,54,0432,054267,5409,03-Nov-2015,  47,  E15750,CRAIG ST AT WINTHROP ST,4,58,12,4,58,12,0,0,11,0.19,1.8,2.096,0.00,0,"9,999",99.00
1,0,54,0432,054267,5409,03-Nov-2015,  48,  E15720,CRAIG ST AT FORBES AVE,4,58,37,4,58,37,0,0,11,0.07,0.4,0.794,0.00,0,457,1.62
1,0,54,0432,054267,5409,03-Nov-2015,  49,  E19400,FORBES AVE AT DITHRIDGE ST,4,59,4,4,59,4,0,0,11,0.06,0.4,0.642,0.00,0,"9,999",99.00
1,0,54,0432,054267,5409,03-Nov-2015,  50,  E06660,BELLEFIELD AVE AT BOARD OF E,4,59,46,4,59,46,0,0,11,0.07,0.7,0.823,0.00,0,"9,999",99.00
1,0,54,0432,054267,5409,03-Nov-2015,  51,  E01710,FIFTH AVE AT TENNYSON AVE,5,0,31,5,0,31,0,0,11,0.10,0.5,1.133,0.00,0,"9,999",99.00
1,0,54,0432,054267,5409,03-Nov-2015,  52,  E01000,FIFTH AVE AT BIGELOW BLVD,5,0,57,5,0,57,0,0,11,0.15,0.6,1.606,0.00,0,500,0.95
1,0,54,0432,054267,5409,03-Nov-2015,  53,  E01730,FIFTH AVE AT THACKERAY AVE,5,1,26,5,1,29,0,3,8,0.17,0.3,1.841,0.05,20,"9,999",99.00
1,0,54,0432,054267,5409,03-Nov-2015,  54,  E01870,FIFTH AVE OPP ATWOOD ST,5,2,4,5,2,14,0,6,2,0.14,0.6,1.152,0.17,20,"9,999",99.00
1,0,54,0432,054267,5409,03-Nov-2015,  55,  E01050,FIFTH AVE AT CHESTERFIELD RD,5,3,18,5,3,18,0,0,2,0.21,1.4,0.425,0.00,0,"9,999",99.00
1,0,54,0432,054267,5409,03-Nov-2015,  56,  E01940,FIFTH AVE OPP CRAFT AVE,5,3,49,5,3,49,0,0,2,0.13,0.3,0.256,0.00,0,"9,999",99.00
1,0,54,0432,054267,5409,03-Nov-2015,  57,  E01550,FIFTH AVE AT ROBINSON ST,5,4,5,5,4,5,0,0,2,0.15,0.6,0.305,0.00,0,"9,999",99.00
1,0,54,0432,054267,5409,03-Nov-2015,  58,  E01040,FIFTH AVE AT BRENHAM ST FS,5,4,38,5,4,38,0,0,2,0.15,0.4,0.299,0.00,0,"9,999",99.00
1,0,54,0432,054267,5409,03-Nov-2015,  59,  E02010,FIFTH AVE OPP #2410,5,4,50,5,4,50,0,0,2,0.16,0.3,0.323,0.00,0,"9,999",99.00
1,0,54,0432,054267,5409,03-Nov-2015,  60,  E02030,FIFTH AVE OPP #2358,5,4,57,5,4,57,0,0,2,0.05,0.1,0.096,0.00,26,"9,999",99.00
1,0,54,0432,054267,5409,03-Nov-2015,  61,  S16260,E CARSON ST AT S 22ND ST,5,7,0,5,7,0,0,0,2,0.49,1.4,0.979,0.00,0,507,0.00
